customer_id,recency,frequency,monetary,segment
10173,75,5,3378.85,Loyal
10174,457,1,173.35,At Risk
10175,707,1,1089.15,Potential
10177,663,2,2822.72,Potential
10178,66,2,1683.19,Potential
10179,246,3,2471.36,Potential
10183,771,1,285.2,At Risk
10184,263,2,4417.79,Loyal
10185,147,2,514.69,At Risk
10187,41,3,688.25,At Risk
10191,141,2,3294.2300000000005,Loyal
10192,638,1,2887.85,Potential
10193,88,3,4250.110000000001,Loyal
10194,769,1,345.05,At Risk
10196,508,1,2415.32,Potential
10197,206,2,2796.2,Potential
10199,164,2,1861.98,Potential
10200,636,1,222.86,At Risk
10202,32,2,514.99,At Risk
10203,606,1,539.31,At Risk
10204,250,1,356.65,At Risk
10205,756,3,2164.38,Potential
10206,789,1,2158.4,Potential
10207,623,3,6350.139999999999,VIP
10208,691,2,2720.15,Potential
10209,194,3,1615.06,Potential
10210,134,3,2677.51,Potential
10211,792,1,414.32,At Risk
10212,359,2,3052.9500000000003,Loyal
10214,219,5,8198.630000000001,VIP
10215,561,3,3560.96,Loyal
10216,646,2,1604.8,Potential
10217,28,1,2997.25,Potential
10219,436,1,1392.68,Potential
10220,346,1,2289.55,Potential
10221,84,1,1154.94,Potential
10222,622,1,495.88,At Risk
10223,557,3,3623.28,Loyal
10224,722,2,2379.12,Potential
10225,814,1,668.14,At Risk
10227,21,3,1032.59,Potential
10228,85,2,1380.38,Potential
10229,78,1,889.5,At Risk
10230,151,2,1378.35,Potential
10231,180,3,2123.47,Potential
10232,326,2,1297.12,Potential
10233,334,2,717.64,At Risk
10234,501,3,2026.16,Potential
10235,655,2,1281.93,Potential
10236,186,3,1804.29,Potential
10237,120,2,1578.34,Potential
10238,197,1,288.37,At Risk
10239,66,1,392.61,At Risk
10240,77,2,988.3199999999999,At Risk
10241,9,2,445.52,At Risk
10242,420,1,628.36,At Risk
10243,827,2,721.3,At Risk
10244,141,1,70.53,At Risk
10245,59,3,1586.9299999999998,Potential
10246,451,2,696.1600000000001,At Risk
10247,394,2,1383.27,Potential
10248,851,1,1619.31,Potential
10249,578,4,6645.88,VIP
10250,668,1,1503.6,Potential
10251,849,2,648.3000000000001,At Risk
10252,362,2,1045.9,Potential
10253,746,1,1593.4,Potential
10254,233,2,3910.04,Loyal
10258,242,2,2766.65,Potential
10259,179,2,220.6,At Risk
10261,152,1,535.49,At Risk
10262,829,1,1267.2,Potential
10263,692,2,1980.04,Potential
10266,29,1,537.48,At Risk
10267,485,1,946.02,At Risk
10268,387,1,584.28,At Risk
10269,468,1,403.45,At Risk
10271,142,2,2257.54,Potential
10272,837,1,75.46,At Risk
10273,26,2,1149.46,Potential
10275,861,1,1022.96,Potential
10276,527,2,366.67,At Risk
10277,150,4,4347.53,Loyal
10278,462,1,668.24,At Risk
10279,75,4,9612.23,VIP
10280,88,3,4530.26,Loyal
10281,91,3,4993.77,Loyal
10282,465,1,1031.78,Potential
10283,222,3,4602.62,Loyal
10285,630,1,622.01,At Risk
10286,666,1,1604.05,Potential
10287,146,2,1803.5700000000002,Potential
10288,254,1,3170.92,Loyal
10289,248,3,4250.87,Loyal
10290,221,1,101.36,At Risk
10292,56,3,2262.27,Potential
10293,74,3,3637.83,Loyal
10294,110,2,3280.95,Loyal
10296,36,3,2066.48,Potential
10298,484,1,511.68,At Risk
10301,170,2,521.12,At Risk
10302,386,1,2279.12,Potential
10303,104,2,1552.15,Potential
10305,777,1,435.43,At Risk
10306,297,1,595.23,At Risk
10307,485,1,558.4,At Risk
10308,285,1,335.14,At Risk
10310,12,5,7372.46,VIP
10311,765,2,1910.9,Potential
10312,106,2,2475.9700000000003,Potential
10313,670,1,375.52,At Risk
10314,850,1,2225.16,Potential
10315,351,1,545.65,At Risk
10316,81,2,3646.87,Loyal
10317,674,1,1694.2,Potential
10318,647,1,1023.12,Potential
10320,301,1,1794.92,Potential
10321,108,2,1651.59,Potential
10322,142,2,2219.6000000000004,Potential
10325,12,3,3380.58,Loyal
10326,293,1,369.92,At Risk
10327,529,1,1164.04,Potential
10329,332,3,3872.42,Loyal
10330,178,4,6099.93,VIP
10331,208,2,613.08,At Risk
10332,532,2,5141.0,VIP
10334,95,3,3372.0,Loyal
10335,433,1,281.1,At Risk
10337,389,2,2303.15,Potential
10338,93,2,687.9300000000001,At Risk
10340,122,1,1475.28,Potential
10341,769,1,2219.68,Potential
10343,549,1,692.04,At Risk
10344,82,3,1193.1399999999999,Potential
10345,41,1,44.28,At Risk
10346,200,2,2272.02,Potential
10347,429,1,1674.55,Potential
10349,162,1,847.23,At Risk
10350,697,2,2733.9,Potential
10351,575,2,745.27,At Risk
10352,54,4,6322.53,VIP
10353,427,1,650.06,At Risk
10354,33,1,1027.14,Potential
10355,746,1,936.25,At Risk
10356,416,1,637.58,At Risk
10359,28,1,2049.44,Potential
10360,5,1,2145.04,Potential
10361,245,2,2727.37,Potential
10362,11,1,1807.35,Potential
10364,142,1,270.08,At Risk
10365,728,1,886.36,At Risk
10366,768,1,257.96,At Risk
10367,898,1,765.84,At Risk
10368,8,6,8515.1,VIP
10369,470,1,1143.12,Potential
10370,26,1,972.36,At Risk
10371,820,1,1449.1,Potential
10372,124,1,372.76,At Risk
10373,147,2,1970.84,Potential
10374,661,2,2790.46,Potential
10375,108,2,5267.200000000001,VIP
10376,65,3,575.6800000000001,At Risk
10377,842,1,1090.35,Potential
10379,859,1,1560.0,Potential
10380,874,1,2759.08,Potential
10381,122,2,3838.9399999999996,Loyal
10383,290,2,1930.26,Potential
10384,384,2,897.28,At Risk
10385,186,3,1836.58,Potential
10386,690,1,324.15,At Risk
10387,403,3,1424.0700000000002,Potential
10388,69,1,2453.85,Potential
10389,121,2,3718.3,Loyal
10390,492,1,862.04,At Risk
10391,3,1,289.05,At Risk
10393,20,1,1791.3,Potential
10394,332,1,516.37,At Risk
10395,34,3,955.9,At Risk
10396,3,1,415.32,At Risk
10397,107,1,1252.59,Potential
10398,496,2,1019.8799999999999,Potential
10400,170,1,1186.72,Potential
10402,115,1,1238.34,Potential
10403,573,3,2901.99,Potential
10404,801,1,1051.98,Potential
10405,19,1,890.12,At Risk
10406,614,1,1691.07,Potential
10407,580,2,1851.1599999999999,Potential
10408,667,1,1701.08,Potential
10409,475,3,2615.9500000000003,Potential
10410,542,2,627.35,At Risk
10411,107,2,2236.0299999999997,Potential
10412,28,2,3499.8500000000004,Loyal
10413,579,1,278.15,At Risk
10414,179,3,1572.0099999999998,Potential
10415,2,1,338.36,At Risk
10416,882,1,922.28,At Risk
10417,79,3,4083.21,Loyal
10418,235,2,2156.1400000000003,Potential
10419,806,1,989.97,At Risk
10420,72,1,1916.2,Potential
10421,1,2,1365.78,Potential
10423,151,1,471.94,At Risk
10424,807,1,1132.59,Potential
10425,143,2,979.3299999999999,At Risk
10428,340,1,746.4,At Risk
10429,212,1,938.0,At Risk
10430,346,1,132.81,At Risk
10431,172,1,175.0,At Risk
10432,49,1,1811.8,Potential
10433,296,2,2726.0099999999998,Potential
10434,561,1,2187.5,Potential
10435,112,2,2264.51,Potential
10439,92,2,3650.91,Loyal
10440,75,4,4498.67,Loyal
10443,392,2,2111.16,Potential
10444,6,2,3216.44,Loyal
10446,37,2,2404.51,Potential
10448,25,2,1947.54,Potential
10449,149,4,7136.4,VIP
10450,23,1,752.67,At Risk
10451,613,1,546.44,At Risk
10452,609,1,449.71,At Risk
10454,382,1,334.52,At Risk
10456,99,2,1046.93,Potential
10458,317,1,2397.1,Potential
10459,837,1,694.52,At Risk
10461,261,4,3999.79,Loyal
10462,199,1,142.69,At Risk
10463,539,1,397.08,At Risk
10465,87,4,3399.05,Loyal
10467,796,1,2718.1,Potential
10468,732,1,992.15,At Risk
10469,177,2,2480.56,Potential
10471,274,2,892.92,At Risk
10472,168,2,1445.63,Potential
10473,709,1,111.26,At Risk
10474,140,1,130.34,At Risk
10475,100,2,1352.3000000000002,Potential
10477,344,3,1408.9699999999998,Potential
10479,42,3,4757.51,Loyal
10480,74,1,546.06,At Risk
10481,670,1,340.08,At Risk
10482,135,3,3997.86,Loyal
10483,168,3,5497.2,VIP
10484,413,2,5202.95,VIP
10485,196,1,1348.35,Potential
10486,441,1,1765.65,Potential
10487,595,2,2431.9900000000002,Potential
10488,611,1,291.38,At Risk
10489,620,2,510.0,At Risk
10490,527,1,2956.2,Potential
10492,319,2,2081.73,Potential
10493,102,3,2989.7599999999998,Potential
10494,32,1,168.9,At Risk
10496,40,3,3829.84,Loyal
10497,100,1,419.72,At Risk
10498,520,1,1865.2,Potential
10499,89,3,1884.18,Potential
10500,343,1,608.63,At Risk
10501,305,2,1753.9499999999998,Potential
10503,424,1,934.08,At Risk
10504,743,1,449.48,At Risk
10506,715,1,788.8,At Risk
10507,56,2,2444.7,Potential
10508,521,1,905.97,At Risk
10509,152,2,3195.83,Loyal
10510,605,1,103.24,At Risk
10511,840,1,662.48,At Risk
10512,569,1,128.51,At Risk
10513,264,2,2030.38,Potential
10515,63,3,3088.3599999999997,Loyal
10517,656,1,479.72,At Risk
10518,304,2,226.20999999999998,At Risk
10520,786,1,1064.7,Potential
10521,142,3,3501.4300000000003,Loyal
10522,807,1,129.9,At Risk
10523,2,2,1002.64,Potential
10524,854,1,418.51,At Risk
10525,512,2,1392.85,Potential
10527,325,3,4471.44,Loyal
10528,591,1,1101.54,Potential
10529,100,2,1385.0700000000002,Potential
10531,368,2,1351.2,Potential
10532,92,3,1129.3400000000001,Potential
10533,10,6,7155.26,VIP
10534,76,1,454.42,At Risk
10535,113,3,2251.13,Potential
10536,57,3,1904.4199999999998,Potential
10537,96,1,2212.6,Potential
10538,348,1,581.12,At Risk
10539,328,1,1421.67,Potential
10540,893,1,753.81,At Risk
10541,129,1,34.94,At Risk
10542,126,2,1728.6399999999999,Potential
10545,490,3,5576.24,VIP
10546,503,1,151.02,At Risk
10547,512,1,884.16,At Risk
10548,848,1,1646.22,Potential
10551,6,2,1759.37,Potential
10552,19,2,628.77,At Risk
10554,27,3,4228.39,Loyal
10555,86,2,1173.18,Potential
10556,9,2,1459.69,Potential
10557,191,2,263.88,At Risk
10558,511,2,2712.92,Potential
10559,715,1,224.5,At Risk
10560,155,1,743.76,At Risk
10561,112,2,914.27,At Risk
10562,56,1,714.5,At Risk
10563,660,1,129.24,At Risk
10564,354,1,1148.76,Potential
10565,384,1,1280.28,Potential
10566,285,4,3161.4700000000003,Loyal
10567,771,1,283.26,At Risk
10568,123,4,3626.8999999999996,Loyal
10570,299,1,75.12,At Risk
10571,318,3,2972.8,Potential
10574,584,2,3425.45,Loyal
10576,44,4,4756.35,Loyal
10578,140,3,5454.91,VIP
10579,134,2,511.77,At Risk
10580,281,3,1267.75,Potential
10581,730,1,1554.76,Potential
10583,419,1,2812.7,Potential
10584,640,1,895.86,At Risk
10586,315,2,1739.0800000000002,Potential
10587,258,4,5054.51,VIP
10588,1,3,4044.0299999999997,Loyal
10589,724,1,1508.4,Potential
10590,429,1,469.52,At Risk
10591,382,4,3944.99,Loyal
10592,791,2,2671.28,Potential
10594,139,4,5227.860000000001,VIP
10595,104,3,3603.5,Loyal
10596,447,2,381.43,At Risk
10597,205,2,733.3,At Risk
10598,7,2,2315.04,Potential
10599,566,1,2738.7,Potential
10600,578,2,1639.72,Potential
10601,491,2,3254.6,Loyal
10602,263,2,654.9,At Risk
10603,239,2,4009.02,Loyal
10604,117,1,1161.04,Potential
10605,44,4,3801.09,Loyal
10606,97,3,5986.15,VIP
10607,163,2,1492.74,Potential
10608,403,3,3193.0099999999998,Loyal
10609,740,1,260.0,At Risk
10610,401,1,1802.0,Potential
10611,267,2,1457.73,Potential
10612,734,1,2666.68,Potential
10613,316,3,3521.86,Loyal
10614,136,1,431.49,At Risk
10615,737,1,179.86,At Risk
10617,544,2,1444.29,Potential
10618,243,1,2792.95,Potential
10619,773,2,1771.5900000000001,Potential
10620,79,1,143.68,At Risk
10621,345,1,1249.2,Potential
10622,224,2,2033.94,Potential
10623,242,4,3291.61,Loyal
10624,254,2,1717.7,Potential
10626,5,2,245.08,At Risk
10627,15,1,179.55,At Risk
10628,303,1,295.25,At Risk
10629,627,1,1529.76,Potential
10630,503,1,360.03,At Risk
10631,586,4,5764.49,VIP
10633,82,3,1751.3700000000001,Potential
10634,888,1,492.4,At Risk
10635,238,2,2405.73,Potential
10636,405,2,528.1800000000001,At Risk
10637,14,1,219.42,At Risk
10638,51,2,2375.22,Potential
10640,205,2,1595.28,Potential
10642,274,2,2440.58,Potential
10643,305,2,2825.3599999999997,Potential
10644,497,1,387.16,At Risk
10645,238,3,2949.81,Potential
10648,74,2,1567.19,Potential
10649,239,1,648.72,At Risk
10650,834,1,1990.92,Potential
10652,564,1,1098.12,Potential
10653,779,1,359.31,At Risk
10654,13,2,895.98,At Risk
10656,50,1,454.26,At Risk
10657,605,3,3175.8,Loyal
10658,262,2,2260.1800000000003,Potential
10659,898,1,2619.95,Potential
10660,177,2,1869.42,Potential
10661,301,3,1493.79,Potential
10665,30,2,1480.8,Potential
10666,332,2,2000.0600000000002,Potential
10667,388,2,1093.49,Potential
10668,178,1,605.9,At Risk
10670,606,2,1761.9499999999998,Potential
10671,853,1,688.83,At Risk
10672,181,1,654.72,At Risk
10676,197,3,2216.45,Potential
10677,190,3,3304.92,Loyal
10678,353,4,2220.41,Potential
10679,325,1,320.56,At Risk
10680,16,2,1866.1999999999998,Potential
10682,10,2,2295.83,Potential
10683,17,2,1591.74,Potential
10685,64,3,1987.94,Potential
10686,827,1,2290.55,Potential
10687,362,2,2872.6000000000004,Potential
10688,548,4,2785.5800000000004,Potential
10689,220,1,336.85,At Risk
10691,84,1,528.1,At Risk
10692,452,2,858.39,At Risk
10693,858,2,3137.04,Loyal
10695,697,2,3402.32,Loyal
10696,325,2,3728.7000000000003,Loyal
10697,17,3,4276.58,Loyal
10699,499,2,2703.98,Potential
10701,210,1,2280.52,Potential
10702,221,2,994.06,At Risk
10703,816,1,33.4,At Risk
10706,897,1,324.4,At Risk
10707,218,1,1046.1,Potential
10709,67,3,5420.3099999999995,VIP
10710,558,1,1059.54,Potential
10711,209,2,1755.3400000000001,Potential
10714,601,1,3366.85,Loyal
10715,247,2,5177.530000000001,VIP
10717,325,2,1739.54,Potential
10718,551,1,1130.44,Potential
10719,790,1,2391.75,Potential
10720,1,1,221.88,At Risk
10721,807,1,1020.76,Potential
10722,547,2,1663.7800000000002,Potential
10723,162,3,1209.3,Potential
10724,839,1,992.56,At Risk
10725,23,3,3419.4800000000005,Loyal
10726,767,1,625.24,At Risk
10727,53,2,569.8499999999999,At Risk
10728,617,1,296.36,At Risk
10729,68,4,4592.0199999999995,Loyal
10730,21,2,2631.72,Potential
10731,244,2,3780.35,Loyal
10732,340,1,1892.45,Potential
10733,260,2,1866.71,Potential
10734,48,5,5626.12,VIP
10735,230,2,1920.04,Potential
10736,338,4,2951.11,Potential
10737,377,1,431.08,At Risk
10738,199,2,724.52,At Risk
10739,338,2,4003.18,Loyal
10740,523,3,3012.83,Loyal
10742,61,2,2942.92,Potential
10743,590,1,787.2,At Risk
10744,75,2,5126.08,VIP
10745,180,4,6590.89,VIP
10746,594,1,1013.64,Potential
10748,593,1,341.46,At Risk
10749,17,2,3887.72,Loyal
10750,131,2,783.94,At Risk
10751,79,3,2075.98,Potential
10752,467,1,536.0,At Risk
10753,850,1,781.3,At Risk
10754,63,2,4377.95,Loyal
10755,804,1,1504.68,Potential
10756,635,1,592.35,At Risk
10757,335,2,1222.26,Potential
10759,480,1,2876.32,Potential
10760,445,1,1254.28,Potential
10761,216,2,2470.58,Potential
10762,251,1,321.3,At Risk
10763,209,3,2693.17,Potential
10764,456,2,1473.62,Potential
10765,529,1,115.36,At Risk
10766,366,2,3757.63,Loyal
10768,763,1,1563.9,Potential
10769,397,1,419.84,At Risk
10770,154,5,1950.03,Potential
10771,32,3,2589.0,Potential
10772,72,3,3515.7400000000002,Loyal
10774,124,3,1476.9099999999999,Potential
10776,476,1,258.48,At Risk
10777,447,1,575.98,At Risk
10778,149,4,7559.95,VIP
10779,812,1,682.86,At Risk
10780,36,1,1329.4,Potential
10781,425,1,1341.21,Potential
10783,734,1,730.15,At Risk
10785,83,3,1828.33,Potential
10786,109,4,3546.34,Loyal
10788,493,2,998.1200000000001,At Risk
10790,679,1,725.68,At Risk
10791,61,1,413.37,At Risk
10793,768,1,123.93,At Risk
10794,425,4,3284.59,Loyal
10795,384,1,194.96,At Risk
10796,614,2,1260.1599999999999,Potential
10797,380,1,2531.7,Potential
10798,263,1,231.14,At Risk
10799,65,4,3206.5,Loyal
10800,458,1,2105.16,Potential
10801,312,2,2943.1299999999997,Potential
10802,527,1,333.85,At Risk
10805,171,3,4084.08,Loyal
10806,75,2,1424.25,Potential
10807,71,2,766.29,At Risk
10808,281,2,2682.8599999999997,Potential
10809,775,1,204.87,At Risk
10810,165,6,6332.13,VIP
10813,415,1,896.42,At Risk
10814,827,1,1590.65,Potential
10815,139,3,2438.69,Potential
10816,573,3,2890.8399999999997,Potential
10819,7,1,825.38,At Risk
10820,206,2,2841.5299999999997,Potential
10822,477,2,1342.02,Potential
10823,61,1,138.03,At Risk
10824,477,3,2755.0299999999997,Potential
10825,510,1,448.0,At Risk
10826,9,1,1575.75,Potential
10827,129,2,275.76,At Risk
10828,5,4,4050.5299999999997,Loyal
10829,419,4,6419.280000000001,VIP
10830,365,1,945.5,At Risk
10831,278,2,3590.27,Loyal
10832,458,2,1210.0500000000002,Potential
10833,310,1,677.86,At Risk
10835,263,2,932.78,At Risk
10836,79,1,1649.94,Potential
10837,191,3,4216.52,Loyal
10839,151,3,1425.78,Potential
10842,243,2,2772.19,Potential
10843,648,1,475.02,At Risk
10845,90,4,3186.1,Loyal
10846,160,2,1026.76,Potential
10847,437,2,2029.4700000000003,Potential
10848,111,3,1354.0900000000001,Potential
10849,32,1,1347.28,Potential
10850,334,2,1349.34,Potential
10851,238,2,4057.14,Loyal
10852,69,1,1593.1,Potential
10853,272,3,3249.81,Loyal
10855,194,1,822.74,At Risk
10857,465,2,678.8100000000001,At Risk
10858,67,2,1410.5700000000002,Potential
10859,535,2,4056.49,Loyal
10860,701,1,523.35,At Risk
10861,675,2,1923.29,Potential
10863,178,2,1180.73,Potential
10864,446,1,1204.2,Potential
10865,112,3,1595.2599999999998,Potential
10867,495,2,925.8199999999999,At Risk
10869,168,4,2458.04,Potential
10870,384,3,2520.6800000000003,Potential
10871,662,1,363.5,At Risk
10872,722,2,1605.96,Potential
10873,469,1,39.98,At Risk
10874,39,3,2680.82,Potential
10875,495,1,1098.96,Potential
10877,4,2,1828.58,Potential
10878,442,1,2026.25,Potential
10879,245,3,3103.72,Loyal
10881,444,2,1193.8500000000001,Potential
10885,486,1,1940.7,Potential
10887,480,3,5013.66,VIP
10888,376,1,86.84,At Risk
10889,375,1,97.48,At Risk
10890,628,1,127.74,At Risk
10892,192,2,272.71000000000004,At Risk
10893,552,1,331.6,At Risk
10895,756,2,342.45,At Risk
10897,613,1,630.75,At Risk
10898,185,2,3397.6800000000003,Loyal
10899,338,2,2215.63,Potential
10900,181,2,1710.8600000000001,Potential
10901,392,2,2859.8,Potential
10902,520,1,910.94,At Risk
10903,353,3,1153.69,Potential
10904,208,2,1338.51,Potential
10906,170,1,1493.22,Potential
10907,33,2,2000.58,Potential
10909,30,2,2181.48,Potential
10910,296,2,5680.950000000001,VIP
10911,320,2,1408.46,Potential
10912,513,1,245.75,At Risk
10913,372,2,2958.44,Potential
10914,340,3,4690.22,Loyal
10915,13,6,4036.35,Loyal
10916,68,2,1586.3300000000002,Potential
10917,232,2,1020.9000000000001,Potential
10918,57,4,5019.05,VIP
10919,335,1,1339.02,Potential
10921,394,2,2169.71,Potential
10922,130,5,4830.34,Loyal
10924,205,2,3595.85,Loyal
10925,6,2,754.44,At Risk
10926,646,1,140.34,At Risk
10927,98,3,2784.9800000000005,Potential
10928,172,1,1291.35,Potential
10929,318,1,2383.1,Potential
10930,449,2,1745.21,Potential
10931,251,1,253.29,At Risk
10934,295,3,2324.38,Potential
10935,371,2,2198.36,Potential
10937,325,2,1862.69,Potential
10938,21,3,2475.79,Potential
10939,164,2,1561.83,Potential
10942,532,2,2220.0,Potential
10944,178,3,3122.81,Loyal
10945,656,1,48.91,At Risk
10946,33,4,5140.96,VIP
10948,189,1,218.47,At Risk
10950,2,2,1395.42,Potential
10952,57,3,1602.13,Potential
10953,393,1,1611.68,Potential
10955,702,1,380.82,At Risk
10956,224,3,2151.05,Potential
10957,330,3,3094.26,Loyal
10958,51,1,3042.1,Loyal
10959,267,2,593.06,At Risk
10960,387,1,1159.92,Potential
10965,572,1,1497.27,Potential
10967,288,2,1589.82,Potential
10968,423,1,193.98,At Risk
10969,136,4,5321.219999999999,VIP
10971,323,1,949.3,At Risk
10972,280,1,1218.36,Potential
10975,69,2,1496.3799999999999,Potential
10976,603,1,539.24,At Risk
10977,231,1,413.86,At Risk
10978,239,6,4680.89,Loyal
10982,795,1,1387.4,Potential
10983,9,2,2420.3,Potential
10984,224,2,1524.44,Potential
10987,9,5,4727.08,Loyal
10988,583,1,877.26,At Risk
10990,592,1,906.6,At Risk
10991,307,2,1813.57,Potential
10992,574,1,1607.61,Potential
10993,28,2,1875.3999999999999,Potential
10994,495,1,158.78,At Risk
10995,25,2,2359.2,Potential
10996,131,2,1510.11,Potential
10997,459,1,195.94,At Risk
10998,616,2,1940.59,Potential
10999,256,3,3273.67,Loyal
11000,298,1,584.48,At Risk
11001,563,1,99.52,At Risk
11003,400,1,1136.22,Potential
11004,724,2,1248.39,Potential
11005,11,3,2123.36,Potential
11007,520,3,2530.2999999999997,Potential
11008,670,1,1694.0,Potential
11009,435,2,1769.8899999999999,Potential
11010,331,1,910.25,At Risk
11012,632,2,2210.4,Potential
11013,794,1,694.82,At Risk
11014,243,1,1306.2,Potential
11016,39,2,565.5799999999999,At Risk
11017,529,1,1815.96,Potential
11018,18,2,2572.6,Potential
11019,338,2,1791.38,Potential
11020,295,2,3801.96,Loyal
11021,303,1,594.48,At Risk
11022,765,1,1012.72,Potential
11023,15,3,2938.93,Potential
11024,181,2,2284.64,Potential
11026,644,1,90.75,At Risk
11028,278,1,139.5,At Risk
11029,439,1,137.64,At Risk
11031,892,1,2836.2,Potential
11033,205,2,2160.7,Potential
11034,707,1,1214.6,Potential
11035,574,2,1973.8,Potential
11036,484,1,359.66,At Risk
11037,387,1,234.87,At Risk
11038,172,2,1174.33,Potential
11039,154,2,1345.2199999999998,Potential
11040,320,1,1294.3,Potential
11041,468,1,493.96,At Risk
11042,328,1,401.71,At Risk
11044,96,3,3295.4700000000003,Loyal
11046,151,1,696.16,At Risk
11048,615,2,1799.3200000000002,Potential
11049,551,1,1436.36,Potential
11050,734,1,72.16,At Risk
11051,84,3,2823.94,Potential
11053,576,1,993.18,At Risk
11055,854,2,3440.29,Loyal
11056,674,2,1728.41,Potential
11057,389,1,376.07,At Risk
11058,490,1,258.83,At Risk
11060,822,1,606.16,At Risk
11061,583,1,676.22,At Risk
11062,26,2,4483.3,Loyal
11063,96,1,192.33,At Risk
11065,167,3,4816.54,Loyal
11066,45,1,526.74,At Risk
11067,881,1,687.2,At Risk
11068,175,3,3747.23,Loyal
11069,507,1,549.75,At Risk
